,County,County Code,Avg Daily Precipitation (mm),# of Observations for Daily Precipitation,State,FIPS
111,"Hot Spring County, AR",5059,3.81,87660, AR,05059
112,"Howard County, AR",5061,3.63,65745, AR,05061
113,"Independence County, AR",5063,3.32,87660, AR,05063
114,"Izard County, AR",5065,3.2,80355, AR,05065
115,"Jackson County, AR",5067,3.35,73050, AR,05067
116,"Jefferson County, AR",5069,3.23,102270, AR,05069
117,"Johnson County, AR",5071,3.48,94965, AR,05071
118,"Lafayette County, AR",5073,3.56,73050, AR,05073
119,"Lawrence County, AR",5075,3.39,73050, AR,05075
120,"Lee County, AR",5077,3.32,58440, AR,05077
121,"Lincoln County, AR",5079,3.32,87660, AR,05079
122,"Little River County, AR",5081,3.39,51135, AR,05081
123,"Logan County, AR",5083,3.31,87660, AR,05083
124,"Lonoke County, AR",5085,3.24,94965, AR,05085
125,"Madison County, AR",5087,3.42,109575, AR,05087
126,"Marion County, AR",5089,3.07,65745, AR,05089
127,"Miller County, AR",5091,3.36,73050, AR,05091
128,"Mississippi County, AR",5093,3.2,109575, AR,05093
129,"Monroe County, AR",5095,3.36,65745, AR,05095
130,"Montgomery County, AR",5097,3.95,87660, AR,05097
131,"Nevada County, AR",5099,3.69,73050, AR,05099
132,"Newton County, AR",5101,3.34,94965, AR,05101
133,"Ouachita County, AR",5103,3.61,102270, AR,05103
134,"Perry County, AR",5105,3.29,80355, AR,05105
135,"Phillips County, AR",5107,3.35,80355, AR,05107
136,"Pike County, AR",5109,3.85,73050, AR,05109
137,"Poinsett County, AR",5111,3.16,87660, AR,05111
138,"Polk County, AR",5113,4.01,124185, AR,05113
139,"Pope County, AR",5115,3.3,109575, AR,05115
140,"Prairie County, AR",5117,3.31,80355, AR,05117
141,"Pulaski County, AR",5119,3.29,73050, AR,05119
142,"Randolph County, AR",5121,3.34,80355, AR,05121
143,"St. Francis County, AR",5123,3.25,80355, AR,05123
144,"Saline County, AR",5125,3.54,87660, AR,05125
145,"Scott County, AR",5127,3.64,87660, AR,05127
146,"Searcy County, AR",5129,3.19,94965, AR,05129
147,"Sebastian County, AR",5131,3.35,51135, AR,05131
148,"Sevier County, AR",5133,3.44,80355, AR,05133
149,"Sharp County, AR",5135,3.32,73050, AR,05135
150,"Stone County, AR",5137,3.28,51135, AR,05137
151,"Union County, AR",5139,3.58,131490, AR,05139
152,"Van Buren County, AR",5141,3.55,73050, AR,05141
153,"Washington County, AR",5143,3.4,116880, AR,05143
154,"White County, AR",5145,3.4,131490, AR,05145
155,"Woodruff County, AR",5147,3.29,87660, AR,05147
156,"Yell County, AR",5149,3.38,124185, AR,05149
157,"Alameda County, CA",6001,1.23,80355, CA,06001
158,"Alpine County, CA",6003,2.51,94965, CA,06003
159,"Amador County, CA",6005,2.45,58440, CA,06005
160,"Butte County, CA",6007,3.4,226455, CA,06007
161,"Calaveras County, CA",6009,2.62,131490, CA,06009
162,"Colusa County, CA",6011,1.44,153405, CA,06011
163,"Contra Costa County, CA",6013,1.23,87660, CA,06013
164,"Del Norte County, CA",6015,6.43,138795, CA,06015
165,"El Dorado County, CA",6017,2.89,233760, CA,06017
166,"Fresno County, CA",6019,1.49,715890, CA,06019
167,"Glenn County, CA",6021,1.6,146100, CA,06021
168,"Humboldt County, CA",6023,4.45,489435, CA,06023
169,"Imperial County, CA",6025,0.25,511350, CA,06025
170,"Inyo County, CA",6027,0.49,1322205, CA,06027
171,"Kern County, CA",6029,0.66,898515, CA,06029
172,"Kings County, CA",6031,0.56,189930, CA,06031
173,"Lake County, CA",6033,2.79,175320, CA,06033
174,"Lassen County, CA",6035,1.05,577095, CA,06035
175,"Los Angeles County, CA",6037,1.07,518655, CA,06037
176,"Madera County, CA",6039,1.89,255675, CA,06039
177,"Marin County, CA",6041,2.47,65745, CA,06041
178,"Mariposa County, CA",6043,2.41,189930, CA,06043
179,"Mendocino County, CA",6045,3.64,460215, CA,06045
180,"Merced County, CA",6047,0.92,248370, CA,06047
181,"Modoc County, CA",6049,1.13,613620, CA,06049
182,"Mono County, CA",6051,1.15,372555, CA,06051
183,"Monterey County, CA",6053,1.36,423690, CA,06053
184,"Napa County, CA",6055,2.37,80355, CA,06055
185,"Nevada County, CA",6057,3.42,146100, CA,06057
186,"Orange County, CA",6059,1.09,94965, CA,06059
187,"Placer County, CA",6061,3.04,160710, CA,06061
188,"Plumas County, CA",6063,2.79,328725, CA,06063
189,"Riverside County, CA",6065,0.54,913125, CA,06065
190,"Sacramento County, CA",6067,1.41,131490, CA,06067
191,"San Benito County, CA",6069,1.09,168015, CA,06069
192,"San Bernardino County, CA",6071,0.48,2359515, CA,06071
