,County,County Code,Avg Daily Precipitation (mm),# of Observations for Daily Precipitation,State,FIPS
490,"Telfair County, GA",13271,3.26,51135, GA,13271
491,"Terrell County, GA",13273,3.42,36525, GA,13273
492,"Thomas County, GA",13275,3.6,73050, GA,13275
493,"Tift County, GA",13277,3.26,21915, GA,13277
494,"Toombs County, GA",13279,3.23,36525, GA,13279
495,"Towns County, GA",13281,4.1,21915, GA,13281
496,"Treutlen County, GA",13283,3.22,29220, GA,13283
497,"Troup County, GA",13285,3.31,51135, GA,13285
498,"Turner County, GA",13287,3.28,21915, GA,13287
499,"Twiggs County, GA",13289,3.19,43830, GA,13289
500,"Union County, GA",13291,3.92,43830, GA,13291
501,"Upson County, GA",13293,3.32,36525, GA,13293
502,"Walker County, GA",13295,3.79,51135, GA,13295
503,"Walton County, GA",13297,3.42,43830, GA,13297
504,"Ware County, GA",13299,3.4,94965, GA,13299
505,"Warren County, GA",13301,3.1,36525, GA,13301
506,"Washington County, GA",13303,3.18,87660, GA,13303
507,"Wayne County, GA",13305,3.42,65745, GA,13305
508,"Webster County, GA",13307,3.44,21915, GA,13307
509,"Wheeler County, GA",13309,3.14,29220, GA,13309
510,"White County, GA",13311,4.4,29220, GA,13311
511,"Whitfield County, GA",13313,3.49,21915, GA,13313
512,"Wilcox County, GA",13315,3.23,43830, GA,13315
513,"Wilkes County, GA",13317,2.98,58440, GA,13317
514,"Wilkinson County, GA",13319,3.19,43830, GA,13319
515,"Worth County, GA",13321,3.34,65745, GA,13321
516,"Ada County, ID",16001,0.82,131490, ID,16001
517,"Adams County, ID",16003,2.21,182625, ID,16003
518,"Bannock County, ID",16005,1.49,131490, ID,16005
519,"Bear Lake County, ID",16007,1.53,160710, ID,16007
520,"Benewah County, ID",16009,2.44,102270, ID,16009
521,"Bingham County, ID",16011,1.05,277590, ID,16011
522,"Blaine County, ID",16013,1.18,328725, ID,16013
523,"Boise County, ID",16015,2.16,270285, ID,16015
524,"Bonner County, ID",16017,2.68,284895, ID,16017
525,"Bonneville County, ID",16019,1.49,277590, ID,16019
526,"Boundary County, ID",16021,2.66,182625, ID,16021
527,"Butte County, ID",16023,0.81,321420, ID,16023
528,"Camas County, ID",16025,1.43,138795, ID,16025
529,"Canyon County, ID",16027,0.69,73050, ID,16027
530,"Caribou County, ID",16029,1.55,233760, ID,16029
531,"Cassia County, ID",16031,1.03,321420, ID,16031
532,"Clark County, ID",16033,1.11,255675, ID,16033
533,"Clearwater County, ID",16035,3.28,336030, ID,16035
534,"Custer County, ID",16037,1.4,679365, ID,16037
535,"Elmore County, ID",16039,1.31,416385, ID,16039
536,"Franklin County, ID",16041,1.64,80355, ID,16041
537,"Fremont County, ID",16043,2.03,277590, ID,16043
538,"Gem County, ID",16045,1.31,94965, ID,16045
539,"Gooding County, ID",16047,0.79,116880, ID,16047
540,"Idaho County, ID",16049,2.5,1212630, ID,16049
541,"Jefferson County, ID",16051,0.84,124185, ID,16051
542,"Jerome County, ID",16053,0.71,80355, ID,16053
543,"Kootenai County, ID",16055,2.34,175320, ID,16055
544,"Latah County, ID",16057,2.17,131490, ID,16057
545,"Lemhi County, ID",16059,1.3,606315, ID,16059
546,"Lewis County, ID",16061,1.59,87660, ID,16061
547,"Lincoln County, ID",16063,0.79,189930, ID,16063
548,"Madison County, ID",16065,1.5,58440, ID,16065
549,"Minidoka County, ID",16067,0.74,116880, ID,16067
550,"Nez Perce County, ID",16069,1.4,102270, ID,16069
551,"Oneida County, ID",16071,1.22,168015, ID,16071
552,"Owyhee County, ID",16073,0.81,993480, ID,16073
553,"Payette County, ID",16075,0.84,51135, ID,16075
554,"Power County, ID",16077,1.1,197235, ID,16077
555,"Shoshone County, ID",16079,3.15,430995, ID,16079
556,"Teton County, ID",16081,2.04,65745, ID,16081
557,"Twin Falls County, ID",16083,0.85,241065, ID,16083
558,"Valley County, ID",16085,2.25,482130, ID,16085
559,"Washington County, ID",16087,1.55,226455, ID,16087
560,"Adams County, IL",17001,2.72,138795, IL,17001
561,"Alexander County, IL",17003,3.21,43830, IL,17003
562,"Bond County, IL",17005,3.01,43830, IL,17005
563,"Boone County, IL",17007,2.53,43830, IL,17007
564,"Brown County, IL",17009,2.72,36525, IL,17009
565,"Bureau County, IL",17011,2.59,131490, IL,17011
566,"Calhoun County, IL",17013,2.82,29220, IL,17013
567,"Carroll County, IL",17015,2.64,73050, IL,17015
568,"Cass County, IL",17017,2.71,51135, IL,17017
569,"Champaign County, IL",17019,2.88,124185, IL,17019
570,"Christian County, IL",17021,2.84,80355, IL,17021
571,"Clark County, IL",17023,3.13,73050, IL,17023
572,"Clay County, IL",17025,3.21,58440, IL,17025
573,"Clinton County, IL",17027,2.99,73050, IL,17027
574,"Coles County, IL",17029,2.98,58440, IL,17029
575,"Cook County, IL",17031,2.67,109575, IL,17031
576,"Crawford County, IL",17033,3.19,51135, IL,17033
577,"Cumberland County, IL",17035,3.06,58440, IL,17035
578,"DeKalb County, IL",17037,2.55,87660, IL,17037
579,"De Witt County, IL",17039,2.85,51135, IL,17039
580,"Douglas County, IL",17041,2.94,58440, IL,17041
581,"DuPage County, IL",17043,2.66,43830, IL,17043
582,"Edgar County, IL",17045,3.02,87660, IL,17045
583,"Edwards County, IL",17047,3.27,21915, IL,17047
584,"Effingham County, IL",17049,3.1,58440, IL,17049
585,"Fayette County, IL",17051,2.95,94965, IL,17051
586,"Ford County, IL",17053,2.74,73050, IL,17053
587,"Franklin County, IL",17055,3.12,43830, IL,17055
588,"Fulton County, IL",17057,2.7,116880, IL,17057
589,"Gallatin County, IL",17059,3.21,29220, IL,17059
590,"Greene County, IL",17061,2.76,73050, IL,17061
591,"Grundy County, IL",17063,2.47,65745, IL,17063
592,"Hamilton County, IL",17065,3.07,65745, IL,17065
593,"Hancock County, IL",17067,2.71,94965, IL,17067
594,"Hardin County, IL",17069,3.23,14610, IL,17069
595,"Henderson County, IL",17071,2.64,73050, IL,17071
596,"Henry County, IL",17073,2.56,116880, IL,17073
597,"Iroquois County, IL",17075,2.75,146100, IL,17075
598,"Jackson County, IL",17077,3.15,87660, IL,17077
599,"Jasper County, IL",17079,3.23,43830, IL,17079
600,"Jefferson County, IL",17081,2.97,65745, IL,17081
601,"Jersey County, IL",17083,2.84,51135, IL,17083
602,"Jo Daviess County, IL",17085,2.61,73050, IL,17085
603,"Johnson County, IL",17087,3.31,36525, IL,17087
604,"Kane County, IL",17089,2.64,65745, IL,17089
605,"Kankakee County, IL",17091,2.7,87660, IL,17091
606,"Kendall County, IL",17093,2.55,43830, IL,17093
607,"Knox County, IL",17095,2.69,87660, IL,17095
608,"Lake County, IL",17097,2.51,80355, IL,17097
609,"LaSalle County, IL",17099,2.5,131490, IL,17099
610,"Lawrence County, IL",17101,3.21,43830, IL,17101
611,"Lee County, IL",17103,2.66,73050, IL,17103
612,"Livingston County, IL",17105,2.59,131490, IL,17105
613,"Logan County, IL",17107,2.76,102270, IL,17107
614,"McDonough County, IL",17109,2.72,65745, IL,17109
615,"McHenry County, IL",17111,2.63,87660, IL,17111
616,"McLean County, IL",17113,2.72,153405, IL,17113
617,"Macon County, IL",17115,2.87,58440, IL,17115
618,"Macoupin County, IL",17117,2.92,87660, IL,17117
619,"Madison County, IL",17119,2.98,102270, IL,17119
620,"Marion County, IL",17121,3.02,65745, IL,17121
621,"Marshall County, IL",17123,2.63,65745, IL,17123
622,"Mason County, IL",17125,2.66,80355, IL,17125
623,"Massac County, IL",17127,3.28,36525, IL,17127
624,"Menard County, IL",17129,2.69,36525, IL,17129
625,"Mercer County, IL",17131,2.49,73050, IL,17131
626,"Monroe County, IL",17133,2.97,51135, IL,17133
627,"Montgomery County, IL",17135,2.97,109575, IL,17135
628,"Morgan County, IL",17137,2.77,80355, IL,17137
629,"Moultrie County, IL",17139,2.85,36525, IL,17139
630,"Ogle County, IL",17141,2.67,124185, IL,17141
631,"Peoria County, IL",17143,2.63,87660, IL,17143
632,"Perry County, IL",17145,3.05,58440, IL,17145
633,"Piatt County, IL",17147,2.89,51135, IL,17147
634,"Pike County, IL",17149,2.73,109575, IL,17149
635,"Pope County, IL",17151,3.28,51135, IL,17151
636,"Pulaski County, IL",17153,3.27,29220, IL,17153
637,"Putnam County, IL",17155,2.57,29220, IL,17155
638,"Randolph County, IL",17157,3.0,73050, IL,17157
639,"Richland County, IL",17159,3.27,43830, IL,17159
640,"Rock Island County, IL",17161,2.49,51135, IL,17161
641,"St. Clair County, IL",17163,2.95,65745, IL,17163
642,"Saline County, IL",17165,3.24,43830, IL,17165
643,"Sangamon County, IL",17167,2.74,116880, IL,17167
644,"Schuyler County, IL",17169,2.74,51135, IL,17169
645,"Scott County, IL",17171,2.7,36525, IL,17171
646,"Shelby County, IL",17173,2.86,80355, IL,17173
647,"Stark County, IL",17175,2.64,36525, IL,17175
648,"Stephenson County, IL",17177,2.63,58440, IL,17177
649,"Tazewell County, IL",17179,2.71,73050, IL,17179
650,"Union County, IL",17181,3.23,58440, IL,17181
651,"Vermilion County, IL",17183,2.83,138795, IL,17183
652,"Wabash County, IL",17185,3.24,43830, IL,17185
653,"Warren County, IL",17187,2.69,58440, IL,17187
654,"Washington County, IL",17189,2.95,65745, IL,17189
655,"Wayne County, IL",17191,3.12,109575, IL,17191
656,"White County, IL",17193,3.15,65745, IL,17193
657,"Whiteside County, IL",17195,2.51,73050, IL,17195
658,"Will County, IL",17197,2.7,131490, IL,17197
659,"Williamson County, IL",17199,3.23,43830, IL,17199
660,"Winnebago County, IL",17201,2.55,51135, IL,17201
661,"Woodford County, IL",17203,2.67,58440, IL,17203
662,"Adams County, IN",18001,2.73,43830, IN,18001
663,"Allen County, IN",18003,2.61,109575, IN,18003
664,"Bartholomew County, IN",18005,3.31,58440, IN,18005
665,"Benton County, IN",18007,2.85,43830, IN,18007
666,"Blackford County, IN",18009,2.81,29220, IN,18009
667,"Boone County, IN",18011,3.06,80355, IN,18011
668,"Brown County, IN",18013,3.39,43830, IN,18013
669,"Carroll County, IN",18015,2.9,51135, IN,18015
670,"Cass County, IN",18017,2.87,43830, IN,18017
671,"Clark County, IN",18019,3.48,58440, IN,18019
672,"Clay County, IN",18021,3.16,43830, IN,18021
673,"Clinton County, IN",18023,2.95,51135, IN,18023
674,"Crawford County, IN",18025,3.38,36525, IN,18025
675,"Daviess County, IN",18027,3.35,65745, IN,18027
676,"Dearborn County, IN",18029,3.23,36525, IN,18029
677,"Decatur County, IN",18031,3.28,65745, IN,18031
678,"De Kalb County, IN",18033,2.6,58440, IN,18033
679,"Delaware County, IN",18035,2.94,43830, IN,18035
680,"Dubois County, IN",18037,3.38,43830, IN,18037
681,"Elkhart County, IN",18039,2.72,58440, IN,18039
682,"Fayette County, IN",18041,3.12,29220, IN,18041
683,"Floyd County, IN",18043,3.35,21915, IN,18043
684,"Fountain County, IN",18045,2.86,43830, IN,18045
685,"Franklin County, IN",18047,3.11,58440, IN,18047
686,"Fulton County, IN",18049,2.82,51135, IN,18049
687,"Gibson County, IN",18051,3.31,51135, IN,18051
688,"Grant County, IN",18053,2.83,43830, IN,18053
689,"Greene County, IN",18055,3.36,58440, IN,18055
690,"Hamilton County, IN",18057,3.08,65745, IN,18057
691,"Hancock County, IN",18059,3.26,36525, IN,18059
692,"Harrison County, IN",18061,3.35,58440, IN,18061
693,"Hendricks County, IN",18063,3.19,43830, IN,18063
694,"Henry County, IN",18065,3.15,65745, IN,18065
695,"Howard County, IN",18067,2.9,58440, IN,18067
696,"Huntington County, IN",18069,2.67,43830, IN,18069
697,"Jackson County, IN",18071,3.42,65745, IN,18071
698,"Jasper County, IN",18073,2.79,73050, IN,18073
699,"Jay County, IN",18075,2.81,58440, IN,18075
700,"Jefferson County, IN",18077,3.52,36525, IN,18077
701,"Jennings County, IN",18079,3.48,29220, IN,18079
702,"Johnson County, IN",18081,3.27,29220, IN,18081
703,"Knox County, IN",18083,3.26,58440, IN,18083
704,"Kosciusko County, IN",18085,2.65,109575, IN,18085
705,"Lagrange County, IN",18087,2.66,43830, IN,18087
706,"Lake County, IN",18089,2.76,51135, IN,18089
707,"La Porte County, IN",18091,2.78,87660, IN,18091
708,"Lawrence County, IN",18093,3.41,80355, IN,18093
709,"Madison County, IN",18095,3.03,43830, IN,18095
710,"Marion County, IN",18097,3.15,43830, IN,18097
711,"Marshall County, IN",18099,2.81,65745, IN,18099
712,"Martin County, IN",18101,3.49,21915, IN,18101
713,"Miami County, IN",18103,2.74,21915, IN,18103
714,"Monroe County, IN",18105,3.35,65745, IN,18105
715,"Montgomery County, IN",18107,2.95,65745, IN,18107
716,"Morgan County, IN",18109,3.27,43830, IN,18109
717,"Newton County, IN",18111,2.8,51135, IN,18111
718,"Noble County, IN",18113,2.65,43830, IN,18113
719,"Ohio County, IN",18115,3.39,14610, IN,18115
720,"Orange County, IN",18117,3.45,51135, IN,18117
721,"Owen County, IN",18119,3.33,65745, IN,18119
722,"Parke County, IN",18121,3.03,58440, IN,18121
723,"Perry County, IN",18123,3.41,43830, IN,18123
724,"Pike County, IN",18125,3.34,36525, IN,18125
725,"Porter County, IN",18127,2.73,51135, IN,18127
726,"Posey County, IN",18129,3.28,58440, IN,18129
727,"Pulaski County, IN",18131,2.85,43830, IN,18131
728,"Putnam County, IN",18133,3.17,51135, IN,18133
729,"Randolph County, IN",18135,2.88,87660, IN,18135
730,"Ripley County, IN",18137,3.39,65745, IN,18137
731,"Rush County, IN",18139,3.24,43830, IN,18139
732,"St. Joseph County, IN",18141,2.79,43830, IN,18141
733,"Scott County, IN",18143,3.49,14610, IN,18143
734,"Shelby County, IN",18145,3.2,65745, IN,18145
735,"Spencer County, IN",18147,3.44,58440, IN,18147
736,"Starke County, IN",18149,2.81,43830, IN,18149
737,"Steuben County, IN",18151,2.65,58440, IN,18151
738,"Sullivan County, IN",18153,3.15,58440, IN,18153
739,"Switzerland County, IN",18155,3.4,21915, IN,18155
740,"Tippecanoe County, IN",18157,2.76,65745, IN,18157
741,"Tipton County, IN",18159,2.96,21915, IN,18159
742,"Union County, IN",18161,2.99,29220, IN,18161
743,"Vanderburgh County, IN",18163,3.32,21915, IN,18163
744,"Vermillion County, IN",18165,2.94,29220, IN,18165
745,"Vigo County, IN",18167,3.11,51135, IN,18167
746,"Wabash County, IN",18169,2.69,65745, IN,18169
747,"Warren County, IN",18171,2.85,36525, IN,18171
748,"Warrick County, IN",18173,3.37,65745, IN,18173
749,"Washington County, IN",18175,3.42,73050, IN,18175
750,"Wayne County, IN",18177,2.99,58440, IN,18177
751,"Wells County, IN",18179,2.69,29220, IN,18179
752,"White County, IN",18181,2.83,51135, IN,18181
753,"Whitley County, IN",18183,2.68,29220, IN,18183
754,"Adair County, IA",19001,2.44,87660, IA,19001
755,"Adams County, IA",19003,2.5,43830, IA,19003
756,"Allamakee County, IA",19005,2.49,80355, IA,19005
757,"Appanoose County, IA",19007,2.71,58440, IA,19007
758,"Audubon County, IA",19009,2.3,58440, IA,19009
759,"Benton County, IA",19011,2.51,65745, IA,19011
760,"Black Hawk County, IA",19013,2.45,65745, IA,19013
761,"Boone County, IA",19015,2.41,65745, IA,19015
762,"Bremer County, IA",19017,2.51,43830, IA,19017
763,"Buchanan County, IA",19019,2.58,87660, IA,19019
764,"Buena Vista County, IA",19021,2.23,87660, IA,19021
765,"Butler County, IA",19023,2.51,87660, IA,19023
766,"Calhoun County, IA",19025,2.17,58440, IA,19025
767,"Carroll County, IA",19027,2.22,87660, IA,19027
768,"Cass County, IA",19029,2.29,65745, IA,19029
769,"Cedar County, IA",19031,2.7,87660, IA,19031
770,"Cerro Gordo County, IA",19033,2.49,87660, IA,19033
771,"Cherokee County, IA",19035,2.18,58440, IA,19035
772,"Chickasaw County, IA",19037,2.59,65745, IA,19037
773,"Clarke County, IA",19039,2.6,43830, IA,19039
774,"Clay County, IA",19041,2.14,87660, IA,19041
775,"Clayton County, IA",19043,2.51,124185, IA,19043
776,"Clinton County, IA",19045,2.55,80355, IA,19045
777,"Crawford County, IA",19047,2.14,87660, IA,19047
778,"Dallas County, IA",19049,2.4,73050, IA,19049
779,"Davis County, IA",19051,2.76,51135, IA,19051
780,"Decatur County, IA",19053,2.62,43830, IA,19053
781,"Delaware County, IA",19055,2.68,87660, IA,19055
782,"Des Moines County, IA",19057,2.56,58440, IA,19057
783,"Dickinson County, IA",19059,2.16,58440, IA,19059
784,"Dubuque County, IA",19061,2.56,87660, IA,19061
785,"Emmet County, IA",19063,2.18,43830, IA,19063
786,"Fayette County, IA",19065,2.6,116880, IA,19065
787,"Floyd County, IA",19067,2.51,87660, IA,19067
788,"Franklin County, IA",19069,2.53,87660, IA,19069
789,"Fremont County, IA",19071,2.36,58440, IA,19071
790,"Greene County, IA",19073,2.27,87660, IA,19073
791,"Grundy County, IA",19075,2.5,58440, IA,19075
792,"Guthrie County, IA",19077,2.41,87660, IA,19077
793,"Hamilton County, IA",19079,2.38,51135, IA,19079
794,"Hancock County, IA",19081,2.32,87660, IA,19081
795,"Hardin County, IA",19083,2.51,58440, IA,19083
796,"Harrison County, IA",19085,2.18,109575, IA,19085
797,"Henry County, IA",19087,2.73,65745, IA,19087
798,"Howard County, IA",19089,2.53,43830, IA,19089
799,"Humboldt County, IA",19091,2.18,58440, IA,19091
800,"Ida County, IA",19093,2.23,51135, IA,19093
801,"Iowa County, IA",19095,2.6,65745, IA,19095
802,"Jackson County, IA",19097,2.54,94965, IA,19097
803,"Jasper County, IA",19099,2.54,109575, IA,19099
804,"Jefferson County, IA",19101,2.78,43830, IA,19101
805,"Johnson County, IA",19103,2.56,94965, IA,19103
806,"Jones County, IA",19105,2.63,58440, IA,19105
807,"Keokuk County, IA",19107,2.6,65745, IA,19107
808,"Kossuth County, IA",19109,2.26,146100, IA,19109
809,"Lee County, IA",19111,2.72,65745, IA,19111
810,"Linn County, IA",19113,2.64,87660, IA,19113
811,"Louisa County, IA",19115,2.58,43830, IA,19115
812,"Lucas County, IA",19117,2.62,58440, IA,19117
813,"Lyon County, IA",19119,1.95,80355, IA,19119
814,"Madison County, IA",19121,2.5,87660, IA,19121
815,"Mahaska County, IA",19123,2.58,87660, IA,19123
816,"Marion County, IA",19125,2.51,87660, IA,19125
817,"Marshall County, IA",19127,2.54,87660, IA,19127
818,"Mills County, IA",19129,2.34,58440, IA,19129
819,"Mitchell County, IA",19131,2.5,58440, IA,19131
820,"Monona County, IA",19133,2.03,109575, IA,19133
821,"Monroe County, IA",19135,2.63,58440, IA,19135
822,"Montgomery County, IA",19137,2.45,58440, IA,19137
823,"Muscatine County, IA",19139,2.55,65745, IA,19139
824,"O'Brien County, IA",19141,2.14,87660, IA,19141
825,"Osceola County, IA",19143,2.11,58440, IA,19143
826,"Page County, IA",19145,2.54,58440, IA,19145
827,"Palo Alto County, IA",19147,2.2,65745, IA,19147
828,"Plymouth County, IA",19149,2.04,87660, IA,19149
829,"Pocahontas County, IA",19151,2.19,65745, IA,19151
830,"Polk County, IA",19153,2.44,80355, IA,19153
831,"Pottawattamie County, IA",19155,2.24,131490, IA,19155
832,"Poweshiek County, IA",19157,2.56,87660, IA,19157
833,"Ringgold County, IA",19159,2.59,58440, IA,19159
834,"Sac County, IA",19161,2.21,58440, IA,19161
835,"Scott County, IA",19163,2.53,51135, IA,19163
836,"Shelby County, IA",19165,2.26,73050, IA,19165
837,"Sioux County, IA",19167,2.04,109575, IA,19167
838,"Story County, IA",19169,2.47,87660, IA,19169
839,"Tama County, IA",19171,2.48,87660, IA,19171
840,"Taylor County, IA",19173,2.57,43830, IA,19173
841,"Union County, IA",19175,2.54,58440, IA,19175
842,"Van Buren County, IA",19177,2.83,51135, IA,19177
843,"Wapello County, IA",19179,2.61,58440, IA,19179
844,"Warren County, IA",19181,2.49,65745, IA,19181
845,"Washington County, IA",19183,2.59,87660, IA,19183
846,"Wayne County, IA",19185,2.72,58440, IA,19185
847,"Webster County, IA",19187,2.23,80355, IA,19187
848,"Winnebago County, IA",19189,2.41,58440, IA,19189
849,"Winneshiek County, IA",19191,2.47,87660, IA,19191
850,"Woodbury County, IA",19193,2.07,131490, IA,19193
851,"Worth County, IA",19195,2.45,58440, IA,19195
852,"Wright County, IA",19197,2.33,87660, IA,19197
853,"Allen County, KS",20001,3.02,43830, KS,20001
854,"Anderson County, KS",20003,2.96,73050, KS,20003
855,"Atchison County, KS",20005,2.68,58440, KS,20005
856,"Barber County, KS",20007,2.09,138795, KS,20007
857,"Barton County, KS",20009,1.97,116880, KS,20009
858,"Bourbon County, KS",20011,3.2,87660, KS,20011
859,"Brown County, KS",20013,2.63,65745, KS,20013
860,"Butler County, KS",20015,2.66,182625, KS,20015
861,"Chase County, KS",20017,2.58,87660, KS,20017
862,"Chautauqua County, KS",20019,2.81,58440, KS,20019
863,"Cherokee County, KS",20021,3.24,87660, KS,20021
864,"Cheyenne County, KS",20023,1.38,109575, KS,20023
865,"Clark County, KS",20025,1.72,146100, KS,20025
866,"Clay County, KS",20027,2.37,87660, KS,20027
867,"Cloud County, KS",20029,2.29,87660, KS,20029
868,"Coffey County, KS",20031,2.84,87660, KS,20031
869,"Comanche County, KS",20033,1.96,87660, KS,20033
870,"Cowley County, KS",20035,2.7,146100, KS,20035
871,"Crawford County, KS",20037,3.32,58440, KS,20037
872,"Decatur County, KS",20039,1.69,124185, KS,20039
873,"Dickinson County, KS",20041,2.5,109575, KS,20041
874,"Doniphan County, KS",20043,2.61,58440, KS,20043
875,"Douglas County, KS",20045,2.76,65745, KS,20045
876,"Edwards County, KS",20047,1.95,80355, KS,20047
877,"Elk County, KS",20049,2.78,87660, KS,20049
878,"Ellis County, KS",20051,1.83,109575, KS,20051
879,"Ellsworth County, KS",20053,2.19,109575, KS,20053
880,"Finney County, KS",20055,1.49,160710, KS,20055
881,"Ford County, KS",20057,1.78,131490, KS,20057
882,"Franklin County, KS",20059,2.8,87660, KS,20059
883,"Geary County, KS",20061,2.58,58440, KS,20061
884,"Gove County, KS",20063,1.72,116880, KS,20063
885,"Graham County, KS",20065,1.79,87660, KS,20065
886,"Grant County, KS",20067,1.32,65745, KS,20067
887,"Gray County, KS",20069,1.63,87660, KS,20069
888,"Greeley County, KS",20071,1.37,102270, KS,20071
889,"Greenwood County, KS",20073,2.72,116880, KS,20073
890,"Hamilton County, KS",20075,1.32,116880, KS,20075
891,"Harper County, KS",20077,2.41,109575, KS,20077
892,"Harvey County, KS",20079,2.38,73050, KS,20079
893,"Haskell County, KS",20081,1.44,87660, KS,20081
894,"Hodgeman County, KS",20083,1.75,109575, KS,20083
895,"Jackson County, KS",20085,2.7,58440, KS,20085
896,"Jefferson County, KS",20087,2.76,80355, KS,20087
897,"Jewell County, KS",20089,2.12,146100, KS,20089
898,"Johnson County, KS",20091,2.92,43830, KS,20091
899,"Kearny County, KS",20093,1.37,87660, KS,20093
900,"Kingman County, KS",20095,2.29,131490, KS,20095
901,"Kiowa County, KS",20097,2.02,87660, KS,20097
902,"Labette County, KS",20099,3.16,65745, KS,20099
903,"Lane County, KS",20101,1.73,87660, KS,20101
904,"Leavenworth County, KS",20103,2.86,43830, KS,20103
905,"Lincoln County, KS",20105,2.23,109575, KS,20105
906,"Linn County, KS",20107,3.05,80355, KS,20107
907,"Logan County, KS",20109,1.45,124185, KS,20109
908,"Lyon County, KS",20111,2.65,109575, KS,20111
909,"McPherson County, KS",20113,2.34,116880, KS,20113
910,"Marion County, KS",20115,2.48,116880, KS,20115
911,"Marshall County, KS",20117,2.46,116880, KS,20117
912,"Meade County, KS",20119,1.56,116880, KS,20119
913,"Miami County, KS",20121,2.92,65745, KS,20121
914,"Mitchell County, KS",20123,2.16,73050, KS,20123
915,"Montgomery County, KS",20125,2.89,87660, KS,20125
916,"Morris County, KS",20127,2.61,87660, KS,20127
917,"Morton County, KS",20129,1.28,87660, KS,20129
918,"Nemaha County, KS",20131,2.61,116880, KS,20131
919,"Neosho County, KS",20133,3.07,65745, KS,20133
920,"Ness County, KS",20135,1.83,146100, KS,20135
921,"Norton County, KS",20137,1.83,116880, KS,20137
922,"Osage County, KS",20139,2.82,116880, KS,20139
923,"Osborne County, KS",20141,1.98,87660, KS,20141
924,"Ottawa County, KS",20143,2.25,58440, KS,20143
925,"Pawnee County, KS",20145,1.85,109575, KS,20145
926,"Phillips County, KS",20147,1.93,124185, KS,20147
927,"Pottawatomie County, KS",20149,2.61,102270, KS,20149
928,"Pratt County, KS",20151,2.03,87660, KS,20151
929,"Rawlins County, KS",20153,1.55,109575, KS,20153
930,"Reno County, KS",20155,2.16,131490, KS,20155
931,"Republic County, KS",20157,2.35,87660, KS,20157
932,"Rice County, KS",20159,2.12,109575, KS,20159
933,"Riley County, KS",20161,2.48,73050, KS,20161
934,"Rooks County, KS",20163,1.93,109575, KS,20163
935,"Rush County, KS",20165,1.79,109575, KS,20165
936,"Russell County, KS",20167,2.0,87660, KS,20167
937,"Saline County, KS",20169,2.3,87660, KS,20169
938,"Scott County, KS",20171,1.59,116880, KS,20171
939,"Sedgwick County, KS",20173,2.42,109575, KS,20173
940,"Seward County, KS",20175,1.42,87660, KS,20175
941,"Shawnee County, KS",20177,2.71,73050, KS,20177
942,"Sheridan County, KS",20179,1.67,131490, KS,20179
943,"Sherman County, KS",20181,1.37,146100, KS,20181
944,"Smith County, KS",20183,1.97,138795, KS,20183
945,"Stafford County, KS",20185,1.96,73050, KS,20185
946,"Stanton County, KS",20187,1.27,87660, KS,20187
947,"Stevens County, KS",20189,1.39,65745, KS,20189
948,"Sumner County, KS",20191,2.59,146100, KS,20191
949,"Thomas County, KS",20193,1.5,146100, KS,20193
950,"Trego County, KS",20195,1.83,87660, KS,20195
951,"Wabaunsee County, KS",20197,2.69,80355, KS,20197
952,"Wallace County, KS",20199,1.41,87660, KS,20199
953,"Washington County, KS",20201,2.39,116880, KS,20201
954,"Wichita County, KS",20203,1.44,102270, KS,20203
955,"Wilson County, KS",20205,2.8,87660, KS,20205
956,"Woodson County, KS",20207,2.9,58440, KS,20207
957,"Wyandotte County, KS",20209,2.87,21915, KS,20209
958,"Adair County, KY",21001,3.57,51135, KY,21001
959,"Allen County, KY",21003,3.65,36525, KY,21003
960,"Anderson County, KY",21005,3.47,21915, KY,21005
961,"Ballard County, KY",21007,3.26,21915, KY,21007
962,"Barren County, KY",21009,3.7,58440, KY,21009
963,"Bath County, KY",21011,3.29,43830, KY,21011
964,"Bell County, KY",21013,3.31,43830, KY,21013
965,"Boone County, KY",21015,3.2,36525, KY,21015
966,"Bourbon County, KY",21017,3.2,29220, KY,21017
967,"Boyd County, KY",21019,2.87,14610, KY,21019
968,"Boyle County, KY",21021,3.49,21915, KY,21021
969,"Bracken County, KY",21023,2.99,21915, KY,21023
970,"Breathitt County, KY",21025,3.26,58440, KY,21025
971,"Breckinridge County, KY",21027,3.54,58440, KY,21027
972,"Bullitt County, KY",21029,3.43,36525, KY,21029
973,"Butler County, KY",21031,3.61,65745, KY,21031
974,"Caldwell County, KY",21033,3.44,36525, KY,21033
975,"Calloway County, KY",21035,3.42,51135, KY,21035
976,"Campbell County, KY",21037,3.0,21915, KY,21037
977,"Carlisle County, KY",21039,3.27,29220, KY,21039
978,"Carroll County, KY",21041,3.43,14610, KY,21041
979,"Carter County, KY",21043,2.92,58440, KY,21043
980,"Casey County, KY",21045,3.59,36525, KY,21045
981,"Christian County, KY",21047,3.44,80355, KY,21047
982,"Clark County, KY",21049,3.25,36525, KY,21049
983,"Clay County, KY",21051,3.37,65745, KY,21051
984,"Clinton County, KY",21053,3.47,29220, KY,21053
985,"Crittenden County, KY",21055,3.3,51135, KY,21055
986,"Cumberland County, KY",21057,3.51,43830, KY,21057
987,"Daviess County, KY",21059,3.4,58440, KY,21059
988,"Edmonson County, KY",21061,3.67,43830, KY,21061
